nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0003490,Ludwig Berger,1892,1969,"director,writer,cinematographer","tt0033152,tt0022263,tt0021261,tt0018592"
nm0003593,Fred Zinnemann,1907,1997,"director,assistant_director,producer","tt0060665,tt0045793,tt0044706,tt0069947"
nm0003638,F.W. Murnau,1888,1931,"director,writer,producer","tt0018455,tt0013442,tt0022458,tt0012973"
nm0003836,Michael Powell,1905,1990,"director,writer,producer","tt0054167,tt0038733,tt0040725,tt0044103"
nm0004290,Margaret Booth,1898,2002,"editor,editorial_department,producer","tt0026752,tt0074937,tt0083564,tt0070903"
nm0004454,Jean Boyer,1901,1965,"writer,director,music_department","tt0241303,tt0031158,tt0147863,tt0250999"
nm0004531,Mario Serandrei,1907,1966,"editor,writer,assistant_director","tt0057091,tt0058946,tt0054067,tt0058567"
nm0005658,G.W. Bitzer,1872,1944,"cinematographer,director,camera_department","tt0004972,tt0009968,tt0431889,tt0006864"
nm0005690,William K.L. Dickson,1860,1935,"cinematographer,director,producer","tt1428455,tt1496763,tt0308254,tt0219560"
nm0005692,Edwin B. DuPar,1885,1961,"cinematographer,special_effects,camera_department","tt0049261,tt0031867,tt0034449,tt0038417"
nm0005713,Karl Freund,1890,1969,"cinematographer,director,camera_department","tt0017136,tt0040506,tt0023245,tt0021814"
nm0005717,Fructuós Gelabert,1874,1955,"director,cinematographer,writer","tt0004954,tt0000859,tt0001756,tt0002156"
nm0005731,René Guissart,1888,1960,"cinematographer,director,camera_department","tt0030816,tt0177868,tt0158967,tt0198895"
nm0005738,Byron Haskin,1899,1984,"director,special_effects,cinematographer","tt0046534,tt0036613,tt0033028,tt0040567"
nm0005748,Julius Jaenzon,1885,1961,"cinematographer,director,actor","tt0020473,tt0213210,tt0021498,tt0006617"
nm0005757,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department","tt0026443,tt0025630,tt0040414,tt0021491"
nm0005803,Hal Mohr,1894,1974,"cinematographer,director,camera_department","tt0036261,tt0026714,tt1918998,tt0044631"
nm0005847,Phil Rosen,1888,1951,"director,cinematographer,producer","tt0029054,tt0020866,tt0032409,tt0026131"
nm0005867,Eugen Schüfftan,1893,1977,"cinematographer,visual_effects,miscellaneous","tt0054997,tt0017136,tt0053459,tt0030643"
nm0005903,Eduard Tisse,1897,1961,"cinematographer,director,camera_department","tt0037824,tt0015648,tt0049001,tt0042671"
nm0005978,Nacio Herb Brown,1896,1964,"music_department,composer,actor","tt0045152,tt0110413,tt0053125,tt0120685"
nm0006085,Arthur Freed,1894,1973,"producer,music_department,actor","tt0043278,tt0045152,tt0110413,tt0053125"
nm0006130,Friedrich Hollaender,1896,1976,"composer,music_department,writer","tt0047437,tt6412452,tt0831887,tt0389557"
nm0006167,Franz Lehár,1870,1948,"music_department,composer,actor","tt0102803,tt0141926,tt0108052,tt0475290"
nm0006234,Cole Porter,1891,1964,"music_department,composer,writer","tt0072665,tt0027387,tt0352277,tt0067525"
nm0006256,Richard Rodgers,1902,1979,"music_department,composer,writer","tt0134119,tt0038116,tt0059742,tt0119925"
nm0006276,Victor Schertzinger,1888,1941,"director,music_department,composer","tt0338337,tt0088170,tt0071360,tt0101669"
nm0006298,Carl W. Stalling,1891,1972,"music_department,composer,actor","tt1650062,tt0259324,tt0107362,tt7713068"
nm0006307,Herbert Stothart,1885,1949,"composer,music_department,writer","tt0032138,tt0346156,tt0026752,tt0309987"
nm0006308,Oscar Straus,1870,1954,"composer,writer,music_department","tt0020147,tt0022074,tt0046022,tt0023303"
nm0006782,E.T.A. Hoffmann,1776,1822,"writer,miscellaneous,soundtrack","tt5523010,tt3998516,tt1563152,tt11492986"
nm0006943,Charles Lamont,1895,1993,"director,writer,producer","tt0029994,tt0039836,tt0031576,tt0031590"
nm0007215,King Baggot,1879,1948,"actor,director,writer","tt0325656,tt0325166,tt0003022,tt0013288"
nm0007221,Maurice Costello,1877,1950,"actor,director,writer","tt0005695,tt0460155,tt0483687,tt0006554"
nm0007276,Legaren à Hiller,1880,1969,"art_director,director,producer","tt0013250,tt0013068,tt0011947,tt0011956"
nm0007308,Per Aabel,1902,1999,"actor,director,writer","tt0143810,tt0024194,tt0143899,tt0034848"
nm0007503,Darby Aaronson,1887,1946,writer,tt0021449
nm0007973,George Abbott,1887,1995,"writer,director,miscellaneous","tt0050814,tt0051516,tt0020629,tt0021346"
nm0008280,Achmed Abdullah,1881,1945,writer,"tt0026643,tt0012541,tt0016913,tt0012012"
nm0008776,Jesus Hermenegildo Abitia,1881,1960,"producer,director,cinematographer","tt0011154,tt0218869,tt0406285,tt0388006"
nm0008948,Karl Abraham,1877,1925,"actor,writer,archive_footage",tt0016914
nm0009205,Leon Abrams,1895,1977,"writer,director","tt0829178,tt0018624,tt0037098,tt0016973"
nm0009257,Ivan Abramson,1869,1934,"writer,director,producer","tt0005348,tt0321663,tt0005129,tt0158939"
nm0009266,Max Abramson,1884,1956,writer,"tt0016059,tt0135474,tt0013713,tt0013255"
nm0009766,Marcel Achard,1899,1974,"writer,director,actor","tt0058586,tt0054331,tt0042013,tt0026485"
nm0009786,Carl Ludwig Achaz-Duisberg,1889,1958,"actor,director,writer","tt0020444,tt0477769,tt0477921"
nm0009926,Edward Acker,\N,\N,"writer,camera_department","tt0363671,tt0377732,tt0377941,tt0383535"
nm0010063,Rodney Ackland,1908,1991,"writer,director,actor","tt0033627,tt0035441,tt0031924,tt0041776"
nm0010289,Germaine Acremant,1889,1986,writer,"tt0019756,tt0028704,tt0019485,tt0197350"
