tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0023635,movie,Unashamed,Unashamed,0,1932,\N,77,Drama,nm0064600,nm0892045,6.2,267
tt0023636,movie,Uncle Moses,Uncle Moses,0,1932,\N,88,"Drama,Romance","nm0325670,nm0780009","nm0777363,nm0038479",6.4,63
tt0023637,short,Uncle Tom and Little Eva,Uncle Tom and Little Eva,0,1932,\N,7,"Animation,Short","nm0205074,nm0287888",\N,5.0,114
tt0023638,movie,Under-Cover Man,Under-Cover Man,0,1932,\N,74,"Crime,Drama,Romance",nm0282549,"nm0123487,nm0267020,nm0287124,nm0934328",6.8,97
tt0023640,movie,The Living Dead,Unheimliche Geschichten,0,1932,\N,89,"Comedy,Horror,Sci-Fi",nm0652650,"nm0652650,nm0000590,nm0325216,nm0829044,nm0843811",6.3,170
tt0023641,movie,Unholy Love,Unholy Love,0,1932,\N,75,Drama,nm0712730,"nm0281306,nm0405081",5.3,164
tt0023642,movie,Union Depot,Union Depot,0,1932,\N,67,"Comedy,Drama,Romance",nm0337586,"nm0491385,nm0288706,nm0244175,nm0321891,nm0109148,nm0629862,nm0216755",7.1,1278
tt0023643,movie,Die unsichtbare Front,Die unsichtbare Front,0,1933,\N,85,Drama,nm0251456,"nm0030679,nm0454024,nm0802561,nm0826452",6.6,7
tt0023645,movie,What Scoundrels Men Are!,"Gli uomini, che mascalzoni...",0,1932,\N,64,"Comedy,Romance",nm0131460,"nm0131460,nm0207362,nm0812827",6.8,544
tt0023646,movie,Uptown New York,Uptown New York,0,1932,\N,80,"Drama,Romance",nm0006276,"nm0217568,nm0240417",6.5,181
tt0023649,movie,Vampyr,Vampyr,0,1932,\N,75,"Fantasy,Horror",nm0003433,"nm0494257,nm0432143,nm0003433",7.4,22555
tt0023650,movie,The Vanishing Frontier,The Vanishing Frontier,0,1932,\N,65,"Drama,Romance,Western",nm0005847,nm0031019,5.1,33
tt0023652,movie,Vanity Fair,Vanity Fair,0,1932,\N,78,"Drama,Romance",nm0291387,"nm0856842,nm0378540",5.6,474
tt0023653,movie,Vanity Street,Vanity Street,0,1932,\N,67,"Adventure,Crime,Drama",nm0342417,"nm0147119,nm0731063,nm0700717",6.8,177
tt0023655,movie,Veiled Aristocrats,Veiled Aristocrats,0,1932,\N,48,Drama,nm0584778,"nm0156261,nm0584778",4.9,192
tt0023657,movie,The Bartered Bride,Die verkaufte Braut,0,1932,\N,77,"Comedy,Music",nm0649097,"nm0018348,nm5856742,nm1511457",6.4,224
tt0023658,movie,Servant's Entrance,Vi som går köksvägen,0,1932,\N,100,Comedy,nm0596410,"nm0095313,nm0147800,nm0406591,nm0596410,nm0828436",6.2,157
tt0023659,movie,Virtue,Virtue,0,1932,\N,68,"Crime,Drama,Romance",nm0125636,"nm0728307,nm0384248",6.9,1124
tt0023660,short,The Voice of Hollywood No. 13 (Second Series),The Voice of Hollywood No. 13 (Second Series),0,1932,\N,12,"Comedy,Music,Short",nm0194890,\N,4.0,58
